,text,label
0,Why should radishes be included in a healthy lifestyle?,3
1,where is the picture taken,3
2,What country is the beach from.,0
3,Is it dark out?,4
4,What is the name of the travel website?,2
5,What part of the world is is located in?,2
6,what does this have to do with news?,4
7,Are the craters all over or scarce?,4
8,Are the people walking on their way to this picnic?,4
9,Is the sky visible?,5
10,who is the astronaut in the image?,1
11,Maybe slightly likely? I think it would be like an ad? ,4
12,What's the weather like? ,1
13,What does the exam room look like?,3
14,How many audience members are visible?,5
15,this is a beautiful city at night. what is the name of this city?,2
16,Are the Skydivers part of an advertisement?,0
17,Is this a show type of event or a competition? ,2
18,What is the relevance of the aircraft to the article/magazine?,1
19,"Are there any trees, buildings, aircraft or gound visible?",2
20,"From the architecture, where is the street most likely located? ",2
21,What city is it.,5
22,What's the weather like?,2
23,What kind of tests are the optometrist performing?,3
24,How long before it hatches?,1
25,Any idea what kind of brands are being displayed?,0
26,how friendly are these seals on the water's edge?,1
27,Is it a certain type of food like Mexican or Italian? ,3
28,How many hotels are in the picture?,2
29,Are the people on the grass?,3
30,is the egg in a zoo?,4
31,Where are the seals located?,5
32,How many bikes are there?,3
33,Are there are men using the equipment?,0
34,"Is the person old, young, healthy, or sick?",3
35,Does it look tasty or gross?,5
36,Where is this tree and gorilla?,2
37,Are there people in the photo?,2
38,Is there a person wearing the backpack? ,2
39,Why is she in the desert?,2
40,the prices are good?,0
41,What side of the market is each thing?,5
42,"maybe a better description of the crowd, to gain insight into why the festivities",4
43,Can you see any of the hotel names on the buildings?,2
44,Which types of cars are they,2
45,is this a show?,5
46,Did the team win a championship?,4
47,how many players are in the photo,0
48,What are they making with the water?,3
49,what is the subject,1
50,How does a row of models correlate to the story?,4
51,Can you see the entire kettle?,3
52,Is there any context or reason why the man is not wearing a shirt? ,0
53,Does it look like the man is taking a break from working or reading?,5
54,Can you buy their wardrobes?,0
55,"The history of this place is amazing ,where I can find more information about it ?",1
56,What is the leafy green vegetable ,3
57,Why is this aircraft pictured?,1
58,Does she consider the colors?,0
59,Can you copy the website to get the recipe please?,3
60,What kind of colors and vegetables make up the salad?,3
61,Is the patient awake or passed out?,1
62,Are there patients in the room?,3
63,Is there a caption explaining the relevance of these items to a healthy diet,3
64,Is there a price?,0
65,"What does the group look like--women, men, etc.?",3
66,what is the name of the city,2
67,What is going on here?,0
68,How does yoga help you with your connections,5
69,What shape is the ISS?,4
70,Are they photographing a certain animal?,1
71,Why is this served with chili peppers,3
72,what shape are they?,4
73,Is there any text in the scene about the honey being local?,3
74,Where was the photo taken?,0
75,What is his career?,4
76,Are there any buildings or structures in the photo?,4
77,Is this a sporting goods website advertising swimwear and accessories?,0
78,Is there any buildings around?,1
79,Where was this picture taken? What city/country? ,2
80,Is this in a studio or outside?,4
